StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Gender,Age,Education,US state,Race/ethnicity,Migration,DHF_endorsement_1,DHF_endorsement_2,DHF_endorsement_3,DHF_endorsement_4,DHF_endorsement_5,DHF_endorsement_6,DHF_endorsement_7,DHF_endorsement_8,DHF_endorsement_9,DHF_endorsement_10,DHF_endorsement_11,DHF_endorsement_12,DHF_endorsement_13,DHF_endorsement_14,DHF_endorsement_15,DHF_endorsement_16,DHF_endorsement_17,DHF_endorsement_18,DHF_endorsement_19,DHF_endorsement_20,DHF_endorsement_21,DHF_endorsement_22,DHF_endorsement_23,DHF_endorsement_24,DHF_endorsement_25,DHF_endorsement_26,DHF_endorsement_27,DHF_endorsement_28,DHF_endorsement_29,DHF_endorsement_30,DHF_Norms_1,DHF_Norms_2,DHF_Norms_3,DHF_Norms_4,DHF_Norms_5,DHF_Norms_6,DHF_Norms_7,DHF_Norms_8,DHF_Norms_9,DHF_Norms_10,DHF_Norms_11,DHF_Norms_12,DHF_Norms_13,DHF_Norms_14,DHF_Norms_15,DHF_Norms_16,DHF_Norms_17,DHF_Norms_18,DHF_Norms_19,DHF_Norms_20,DHF_Norms_21,DHF_Norms_22,DHF_Norms_23,DHF_Norms_24,DHF_Norms_25,DHF_Norms_26,DHF_Norms_27,DHF_Norms_28,DHF_Norms_29,DHF_Norms_30,Reciprocity_1,Reciprocity_2,Reciprocity_3,Reciprocity_4,Reciprocity_5,Reciprocity_6,Self-construal_1,Self-construal_2,Self-construal_3,Self-construal_4,Self-construal_5,Self-construal_6,Self-construal_7,Self-construal_8,Self-construal_9,Self-construal_10,Self-construal_11,Self-construal_12,Self-construal_13,Self-construal_14,Self-construal_15,Self-construal_16,Self-construal_17,Self-construal_18,Self-construal_19,Self-construal_20,Self-construal_21,Self-construal_22,Self-construal_23,Self-construal_24,Dictator comp 1,Dictator comp 2,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Dictator_decision,Ultimatum comp 1,Ultimatum comp 2,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Ultimatum Receiver_1,Ultimatum Receiver_2,Ultimatum Receiver_3,Ultimatum Receiver_4,Ultimatum Receiver_5,Ultimatum Receiver_6,Ultimatum Receiver_7,Ultimatum Receiver_8,Ultimatum Receiver_9,Ultimatum Receiver_10,Ultimatum Receiver_11,Ultimatum Proposer_1,Ultimatum Proposer_2,Ultimatum Proposer_3,Ultimatum Proposer_4,Ultimatum Proposer_5,Ultimatum Proposer_6,Ultimatum Proposer_7,Ultimatum Proposer_8,Ultimatum Proposer_9,Ultimatum Proposer_10,Ultimatum Proposer_11,Ultimatum expect_1,Ultimatum expect_2,Ultimatum expect_3,Ultimatum expect_4,Ultimatum expect_5,Ultimatum expect_6,Ultimatum expect_7,Ultimatum expect_8,Ultimatum expect_9,Ultimatum expect_10,Ultimatum expect_11
09/05/2023 19:29,09/05/2023 19:45,IP Address,100,935,TRUE,09/05/2023 19:45,R_un7mCBIfke6zOff,Woman,43,Trade/technical/vocational training,Texas,White,I was born and raised in the USA,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Somewhat disagree,Agree,Disagree,Disagree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Strongly agree,Disagree,Agree,Somewhat disagree,Agree,Agree,Strongly agree,Disagree,Agree,Somewhat agree,6,"Applies to me perfectly
7
",6,"Does not apply to me at all
1
","Does not apply to me at all
1
","Does not apply to me at all
1
","Describes me very well
4
",1½,"Describes me moderately
3
","Describes me a little
2
",4½,4½,"Describes me very well
4
","Describes me very well
4
",3½,3½,"Describes me very well
4
","Describes me a little
2
","Describes me exactly
5
","Describes me very well
4
","Describes me very well
4
","Describes me a little
2
","Describes me very well
4
","Describes me moderately
3
","Doesn’t describe me at all
1
",2½,"Describes me exactly
5
","Describes me exactly
5
",4½,2½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,5.649,5.649,8.55,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,10.423,21.403,22.384,12,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,1,2,3,4,5,5,5,5,5,5,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:32,09/05/2023 19:45,IP Address,100,813,TRUE,09/05/2023 19:45,R_bC7hxnq18QghIT7,Woman,61,Bachelor’s degree,Texas,Black or African American,I was born and raised in the USA,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,"Applies to me perfectly
7
","Applies to me perfectly
7
",6,2,2,4,4½,1½,"Describes me exactly
5
","Describes me moderately
3
",4½,"Describes me very well
4
","Describes me very well
4
",1½,"Describes me very well
4
","Doesn’t describe me at all
1
",4½,"Describes me moderately
3
",2½,"Describes me very well
4
","Describes me very well
4
",2½,"Describes me moderately
3
","Describes me moderately
3
","Doesn’t describe me at all
1
","Describes me moderately
3
","Describes me very well
4
","Describes me exactly
5
",4½,3½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,16.873,23.338,24.368,6,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,10.659,34.562,39.687,22,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,1,2,3,4,5,10,10,10,10,10,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:26,09/05/2023 19:50,IP Address,100,1449,TRUE,09/05/2023 19:50,R_3maiPDk49y7NbB8,Man,52,Associate degree,Texas,White,I was born and raised in the USA,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,"Applies to me perfectly
7
","Applies to me perfectly
7
",5,2,2,3,4½,"Doesn’t describe me at all
1
","Describes me very well
4
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
",3½,1½,3½,"Describes me very well
4
","Doesn’t describe me at all
1
",4½,1½,"Doesn’t describe me at all
1
","Describes me moderately
3
",4½,"Doesn’t describe me at all
1
",2½,"Doesn’t describe me at all
1
","Describes me a little
2
","Describes me very well
4
",4½,"Describes me a little
2
",4½,4½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,22.218,22.218,24.899,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,6.833,34.233,38.465,11,I reject,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,0,0,0,0,0,5,4,3,0,0,5,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept
09/05/2023 19:36,09/05/2023 19:51,IP Address,100,893,TRUE,09/05/2023 19:51,R_30nSzJbRDi3MBaE,Woman,29,Trade/technical/vocational training,New York,White,I was born and raised in the USA,Somewhat agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,6,"Applies to me perfectly
7
","Applies to me perfectly
7
",5,5,5,"Describes me very well
4
","Doesn’t describe me at all
1
","Describes me exactly
5
","Describes me very well
4
","Describes me very well
4
","Describes me moderately
3
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me very well
4
","Describes me moderately
3
","Describes me exactly
5
","Describes me exactly
5
","Describes me exactly
5
","Describes me exactly
5
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me exactly
5
","Describes me moderately
3
","Describes me moderately
3
",4½,4½,"Describes me moderately
3
",4½,4½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,3.46,14.143,15.762,2,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,10.109,34.798,35.191,19,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,1,2,3,4,5,6,7,8,9,10,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:26,09/05/2023 19:52,IP Address,100,1520,TRUE,09/05/2023 19:52,R_vdJy8HST8kATXBn,Woman,47,"Some college credit, no degree",Texas,Hispanic or Latino,I was born and raised in the USA,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,"Applies to me perfectly
7
","Applies to me perfectly
7
","Applies to me perfectly
7
","Does not apply to me at all
1
","Does not apply to me at all
1
","Does not apply to me at all
1
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
",4½,"Doesn’t describe me at all
1
",2½,"Doesn’t describe me at all
1
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
",1½,3½,"Describes me exactly
5
","Describes me exactly
5
","Doesn’t describe me at all
1
",4½,"Doesn’t describe me at all
1
","Doesn’t describe me at all
1
",2½,4½,"Doesn’t describe me at all
1
","Doesn’t describe me at all
1
","Describes me very well
4
",2½,3½,"Doesn’t describe me at all
1
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,22.701,22.701,24.432,1,4,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,40.035,77.429,78.836,20,I accept,I reject,I reject,I reject,I reject,I reject,I reject,I reject,I reject,I reject,I reject,1,1,2,3,4,5,6,7,8,9,10,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:36,09/05/2023 19:52,IP Address,100,972,TRUE,09/05/2023 19:52,R_3PjFPSNOODCJ2WR,Woman,40,"High school graduate, diploma or the equivalent (for example: GED)",Texas,White,I was born and raised in the USA,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Somewhat disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Applies to me perfectly
7
","Applies to me perfectly
7
","Applies to me perfectly
7
","Does not apply to me at all
1
","Does not apply to me at all
1
","Does not apply to me at all
1
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me moderately
3
","Doesn’t describe me at all
1
","Describes me exactly
5
","Describes me exactly
5
","Describes me exactly
5
","Describes me exactly
5
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me exactly
5
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
","Describes me exactly
5
","Describes me exactly
5
","Doesn’t describe me at all
1
","Describes me exactly
5
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
","Describes me exactly
5
","Describes me exactly
5
","Describes me moderately
3
","Describes me exactly
5
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,4.138,4.138,5.053,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,10.768,16.543,17.484,11,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,5,5,5,5,5,5,5,5,5,5,5,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:32,09/05/2023 19:53,IP Address,100,1247,TRUE,09/05/2023 19:53,R_2YJpI0KUszumvQd,Woman,20,"Some college credit, no degree",Texas,Hispanic or Latino,I was born and raised in the USA,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Strongly disagree,Disagree,5,5,5,"Does not apply to me at all
1
","Does not apply to me at all
1
",2,1½,"Describes me moderately
3
",3½,4½,3½,2½,"Describes me moderately
3
","Describes me moderately
3
","Describes me a little
2
","Describes me a little
2
","Describes me a little
2
",1½,2½,2½,1½,"Describes me a little
2
","Describes me moderately
3
","Describes me a little
2
","Describes me very well
4
",2½,"Describes me very well
4
","Doesn’t describe me at all
1
","Describes me a little
2
","Describes me moderately
3
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,37.118,41.002,41.649,7,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,4.969,25.256,26.808,24,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,0,2,3,4,5,6,7,8,8,9,The other person would accept,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:31,09/05/2023 19:54,IP Address,100,1357,TRUE,09/05/2023 19:54,R_1FL1HW5l1Z39dFO,Woman,41,Master’s degree,Texas,White,I was born and raised in the USA,Strongly agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Somewhat disagree,Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Agree,Agree,Agree,Disagree,Agree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Strongly agree,Agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Agree,Agree,6,6,5,"Does not apply to me at all
1
",2,3,3½,1½,"Describes me very well
4
",3½,"Describes me exactly
5
","Describes me a little
2
",4½,3½,"Describes me moderately
3
",3½,3½,"Doesn’t describe me at all
1
","Describes me very well
4
","Describes me very well
4
","Describes me very well
4
",3½,"Describes me very well
4
",4½,"Describes me a little
2
",3½,"Describes me very well
4
","Describes me moderately
3
","Describes me very well
4
","Describes me a little
2
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,14.84,17.981,19.465,2,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,15.044,40.988,42.214,14,I reject,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,5,5,5,5,5,5,5,5,5,5,5,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:42,09/05/2023 19:54,IP Address,100,754,TRUE,09/05/2023 19:54,R_4TM70vMxNr6KyaZ,Man,59,"Some college credit, no degree",New York,White,I was born and raised in the USA,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,6,6,6,4,4,4,4½,1½,"Describes me moderately
3
",1½,"Describes me very well
4
","Describes me exactly
5
","Describes me exactly
5
","Describes me very well
4
","Describes me very well
4
","Describes me a little
2
",2½,"Doesn’t describe me at all
1
","Doesn’t describe me at all
1
",1½,"Describes me exactly
5
",3½,4½,"Doesn’t describe me at all
1
",1½,"Doesn’t describe me at all
1
","Describes me exactly
5
",4½,4½,"Describes me exactly
5
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,3.302,4.484,8.448,2,0,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,10.749,19.514,21.291,11,I reject,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,0,1,2,3,4,5,6,7,8,9,10,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:42,09/05/2023 19:55,IP Address,100,824,TRUE,09/05/2023 19:55,R_27Dnx3RFKsDrKNP,Woman,26,Associate degree,Texas,Hispanic or Latino,I was born and raised in the USA,Strongly agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,6,6,6,"Does not apply to me at all
1
",2,2,"Describes me exactly
5
",3½,"Describes me very well
4
","Doesn’t describe me at all
1
","Describes me moderately
3
",3½,"Describes me very well
4
",2½,"Describes me moderately
3
","Describes me a little
2
",3½,"Describes me a little
2
",1½,"Describes me very well
4
","Describes me moderately
3
",2½,3½,"Describes me a little
2
",1½,1½,3½,"Describes me very well
4
","Describes me a little
2
",2½,Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,7.738,7.738,8.61,1,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,5.628,14.679,16.092,12,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,5,5,5,5,5,5,5,5,5,5,5,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:39,09/05/2023 19:56,IP Address,100,1022,TRUE,09/05/2023 19:56,R_1GBJYg98OqRLldK,Woman,40,Bachelor’s degree,Texas,White,"I was born and/or raised in the USA, but my family (parents or grandparents) immigrated to the USA from another country",Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,"Applies to me perfectly
7
","Applies to me perfectly
7
",5,3,3,2,"Describes me moderately
3
","Describes me moderately
3
","Describes me very well
4
",4½,"Describes me moderately
3
","Describes me a little
2
","Describes me a little
2
","Doesn’t describe me at all
1
",2½,2½,4½,"Describes me very well
4
","Describes me moderately
3
","Describes me exactly
5
","Describes me moderately
3
","Describes me exactly
5
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
","Describes me moderately
3
","Describes me exactly
5
",3½,"Describes me moderately
3
",3½,"Describes me a little
2
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,13.34,13.34,14.98,1,4,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,11.094,26.339,28.12,11,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,I accept,I accept,0,1,2,3,4,5,5,5,5,5,5,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
09/05/2023 19:39,09/05/2023 19:56,IP Address,100,986,TRUE,09/05/2023 19:56,R_3NEvBcH8cLxHZes,Woman,29,Associate degree,Texas,Hispanic or Latino,"I was born and/or raised in the USA, but my family (parents or grandparents) immigrated to the USA from another country",Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Somewhat disagree,Agree,Agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,Agree,6,6,6,2,2,"Does not apply to me at all
1
","Describes me very well
4
",1½,"Describes me very well
4
","Describes me a little
2
",3½,"Describes me very well
4
","Describes me very well
4
",1½,"Describes me moderately
3
","Describes me a little
2
","Describes me moderately
3
","Describes me moderately
3
",3½,"Describes me very well
4
","Describes me exactly
5
",2½,"Describes me very well
4
","Doesn’t describe me at all
1
","Doesn’t describe me at all
1
",1½,"Describes me exactly
5
","Describes me very well
4
","Describes me exactly
5
","Describes me moderately
3
",Giver: 10 MU; Receiver: 0 MU,Giver: 4 MU; Receiver: 6 MU,3.233,10.647,11.984,7,5,Proposer 0 MU; Receiver 0 MU,Proposer 4 MU; Receiver 6 MU,6.938,26.286,28.028,17,I reject,I reject,I reject,I reject,I reject,I accept,I accept,I accept,I accept,I accept,I accept,0,0,0,0,0,5,6,7,8,9,5,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would reject,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept,The other person would accept
